Salesperson,ProductClass,Year,Month,Invoice,QtyInvoiced,NetSalesValue,TargetSales,CustomerClass
SM-JL,DVG,2023,1,10000001,2.0,57.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000001,3.0,146.25,334839.4709,CTRD-SD
SM-SC,DVG,2023,1,10000002,3.0,184.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,124.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,136.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,115.2,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,165.6,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,129.6,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,158.4,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,5.0,160.0,276849.2018,CTRD-KA
SM-SC,TEA,2023,1,10000002,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000002,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000002,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000002,1.0,76.0,33564.625,CTRD-KA
SM-SC,DVG,2023,1,10000002,5.0,213.15,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,3.0,118.24,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000002,10.0,434.43,276849.2018,CTRD-KA
SM-JW,DVG,2023,1,10000003,10.0,405.0,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000003,4.0,184.0,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000003,12.0,432.0,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000003,8.0,374.4,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000003,6.0,291.6,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000003,12.0,432.0,387911.0545,CTRD-HRC
SM-SC,DVG,2023,1,10000004,3.0,184.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,124.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,136.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,115.2,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,165.6,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,129.6,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,158.4,276849.2018,CTRD-KA
SM-SC,TEA,2023,1,10000004,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000004,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000004,1.0,72.0,33564.625,CTRD-KA
SM-SC,DVG,2023,1,10000004,5.0,160.0,276849.2018,CTRD-KA
SM-SC,TEA,2023,1,10000004,1.0,76.0,33564.625,CTRD-KA
SM-SC,DVG,2023,1,10000004,5.0,209.47,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,3.0,108.31,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000004,10.0,445.66,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,184.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,124.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,136.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,115.2,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,165.6,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,129.6,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,96.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,158.4,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,5.0,160.0,276849.2018,CTRD-KA
SM-SC,TEA,2023,1,10000005,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000005,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000005,1.0,72.0,33564.625,CTRD-KA
SM-SC,TEA,2023,1,10000005,1.0,76.0,33564.625,CTRD-KA
SM-SC,DVG,2023,1,10000005,5.0,212.53,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,3.0,128.24,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000005,10.0,364.3,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,3.0,184.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,2.0,83.2,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,4.0,182.4,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,1.0,32.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,1.0,32.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,4.0,153.6,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,4.0,220.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,1.0,43.2,276849.2018,CTRD-KA
